clip_id,file_name,start_time_s,end_time_s,qc_result,y_bin,rms_mean,crest_factor_db,true_peak_dbfs,short_term_lufs_mean,loudness_var_proxy_db,silence_ratio,stereo_correlation,spectral_centroid_mean,spectral_flatness_mean,clipping_ratio,near_ceiling_ratio
COCINANDO_PGR_08_B1_POL1_57,COCINANDO_PGR_08_B1_POL1.wav,280,285,falla,1,0.004615252837538719,12.794705030816175,-33.908722236209776,-47.56377516262245,1.642467737197876,0.299875,-0.9869920406718773,3556.1457526857725,0.013693561777472496,0.0,0.0
COCINANDO_PGR_08_B1_POL1_58,COCINANDO_PGR_08_B1_POL1.wav,285,290,falla,1,0.004536078777164221,14.24079105431263,-32.61537127218871,-48.351091875603004,2.440518379211426,0.233975,-0.9847808747387095,3364.2079695247994,0.005517442245036364,0.0,0.0
COCINANDO_PGR_08_B1_POL1_59,COCINANDO_PGR_08_B1_POL1.wav,290,295,falla,1,0.003915707115083933,15.704419178103109,-32.43390835190184,-49.596503606838155,2.232485294342041,0.26148333333333335,-0.9896254217242932,3952.5543092316284,0.012205302715301514,0.0,0.0
COCINANDO_PGR_08_B1_POL1_60,COCINANDO_PGR_08_B1_POL1.wav,295,300,falla,1,0.003855090355500579,14.07913245765976,-34.18183886842121,-50.26159577252916,1.486071228981018,0.2319625,-0.9882832794792631,3863.8021132878202,0.011423872783780098,0.0,0.0
COCINANDO_PGR_08_B1_POL1_61,COCINANDO_PGR_08_B1_POL1.wav,300,305,falla,1,0.0033731625881046057,13.842857471319206,-35.59539144292879,-51.96125265470912,1.6187386512756348,0.2589625,-0.9902282065950831,2052.264441890348,0.001697693718597293,0.0,0.0
COCINANDO_PGR_08_B1_POL1_62,COCINANDO_PGR_08_B1_POL1.wav,305,310,falla,1,0.0039332155138254166,12.50462459491257,-35.597241926487754,-50.926238432984924,1.4271892309188843,0.21093333333333333,-0.98793314985685,2158.287096911369,0.0010985913686454296,0.0,0.0
COCINANDO_PGR_08_B1_POL1_63,COCINANDO_PGR_08_B1_POL1.wav,310,315,falla,1,0.00349987531080842,15.767208591533212,-33.35071731751442,-51.55427073817668,1.6154075860977173,0.23684166666666667,-0.989927388051786,2471.123236217264,0.001737066195346415,0.0,0.0
COCINANDO_PGR_08_B1_POL1_64,COCINANDO_PGR_08_B1_POL1.wav,315,320,falla,1,0.003994482569396496,14.00966316330782,-33.95516925087578,-50.12933069199845,1.4058688879013062,0.2249875,-0.9883710410845332,2591.8310703365787,0.0023199175484478474,0.0,0.0
COCINANDO_PGR_08_B1_POL1_65,COCINANDO_PGR_08_B1_POL1.wav,320,325,falla,1,0.0032871663570404053,12.96913686220325,-36.69688241698433,-52.501821727120216,2.084857225418091,0.2609208333333333,-0.9902980506538861,1958.494587967095,0.0011950244661420584,0.0,0.0
COCINANDO_PGR_08_B1_POL1_66,COCINANDO_PGR_08_B1_POL1.wav,325,330,falla,1,0.004681689664721489,13.99348602719187,-32.58806624834479,-48.185372236949576,1.2135111093521118,0.179475,-0.9831595956662055,2674.89220198904,0.005046284291893244,0.0,0.0
COCINANDO_PGR_08_B1_POL1_67,COCINANDO_PGR_08_B1_POL1.wav,330,335,falla,1,0.004068830981850624,15.707612410179209,-32.0985031056374,-49.845446380378704,1.6332488059997559,0.22543333333333335,-0.9848916305479257,2428.279917718586,0.004729468375444412,0.0,0.0
COCINANDO_PGR_08_B1_POL1_68,COCINANDO_PGR_08_B1_POL1.wav,335,340,falla,1,0.004170489963144064,14.236977682602607,-33.33251496301508,-49.29767033276643,1.3531655073165894,0.22249583333333334,-0.9862227593800723,3056.27389787848,0.005166899878531694,0.0,0.0
COCINANDO_PGR_08_B1_POL1_69,COCINANDO_PGR_08_B1_POL1.wav,340,345,falla,1,0.005492764990776777,17.133263374120272,-28.065729082013846,-48.67842484217866,2.7764105796813965,0.1775875,-0.9760601442943797,2129.2482622855546,0.002101037185639143,0.0,0.0
COCINANDO_PGR_08_B1_POL1_70,COCINANDO_PGR_08_B1_POL1.wav,345,350,falla,1,0.01099901832640171,18.415724257852347,-20.73171700331137,-41.65289555000073,3.978328227996826,0.1116625,-0.9114792771054864,3618.238557291964,0.0062021841295063496,0.0,0.0
COCINANDO_PGR_08_B1_POL1_71,COCINANDO_PGR_08_B1_POL1.wav,350,355,falla,1,0.00789402611553669,16.820050876527414,-25.22664173832029,-42.03132841182698,4.002233982086182,0.14182083333333334,-0.9361697843425795,3249.4795460214423,0.0023074704222381115,0.0,0.0
COCINANDO_PGR_08_B1_POL1_72,COCINANDO_PGR_08_B1_POL1.wav,355,360,falla,1,0.009026611223816872,13.321701088959987,-27.565917434823174,-45.120515405310755,6.379341125488281,0.1877125,-0.9171511625440742,1881.6393186700543,0.002140210708603263,0.0,0.0
COCINANDO_PGR_08_B1_POL1_73,COCINANDO_PGR_08_B1_POL1.wav,360,365,falla,1,0.007747038267552853,14.957494194793345,-27.259664894658858,-43.05008037528604,4.252667427062988,0.15705,-0.9370222383151487,1917.848486428059,0.0010308724595233798,0.0,0.0
COCINANDO_PGR_08_B1_POL1_74,COCINANDO_PGR_08_B1_POL1.wav,365,370,falla,1,0.007642639800906181,17.583741158644948,-24.751184116042158,-45.34414200064835,4.131592273712158,0.16189166666666666,-0.9399943309817489,1939.8852048092858,0.002627341542392969,0.0,0.0
COCINANDO_PGR_08_B1_POL1_75,COCINANDO_PGR_08_B1_POL1.wav,370,375,falla,1,0.015367095358669758,15.945264414989555,-20.286326501347443,-38.42540504563928,5.134435176849365,0.08860416666666666,-0.7510440468817579,1987.115322284268,0.0008635833510197699,0.0,0.0
COCINANDO_PGR_08_B1_POL1_76,COCINANDO_PGR_08_B1_POL1.wav,375,380,falla,1,0.007195128593593836,12.821226355505978,-30.018863767692125,-44.40620067104154,1.6656254529953003,0.12090833333333334,-0.9503475234232079,1665.5079363605403,0.0007016595336608589,0.0,0.0
COCINANDO_PGR_08_B1_POL1_77,COCINANDO_PGR_08_B1_POL1.wav,380,385,falla,1,0.009149112738668919,14.35277626270232,-26.419745112216386,-42.202908692814724,2.3664112091064453,0.104975,-0.915438704751585,1817.9176073616586,0.0029035978950560093,0.0,0.0
COCINANDO_PGR_08_B1_POL1_78,COCINANDO_PGR_08_B1_POL1.wav,385,390,falla,1,0.006446368992328644,17.93367565735358,-25.877914338387672,-46.202153521310244,3.9993090629577637,0.20135833333333333,-0.9390646260471852,2936.8920178025446,0.0032315985299646854,0.0,0.0
COCINANDO_PGR_08_B1_POL1_79,COCINANDO_PGR_08_B1_POL1.wav,390,395,falla,1,0.009646509774029255,15.993274921957667,-24.31910809213266,-41.757265502010036,3.8975393772125244,0.14544583333333333,-0.901581037576353,2760.652587732283,0.002728866646066308,0.0,0.0
COCINANDO_PGR_08_B1_POL1_80,COCINANDO_PGR_08_B1_POL1.wav,395,400,falla,1,0.006337730213999748,16.404773269828215,-27.55377414569164,-44.33810256153405,5.623730659484863,0.23721666666666666,-0.9706582847840971,2020.7640186115566,0.0011616053525358438,0.0,0.0
